"","X","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Ratto_Vert","Plant.species.family","Plant.species","Pollinator.variable.measure","Reproductive.succes.measure","Response","Nc.visits","Nt.visits","Escala_visitas","Nc.sp..Poll","Nt.sp..Poll","Obs.Exp","N","Escala.N","N.control","N.treat","Measure.used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas.C","Visitas.T","Unidad.de.tiempo.de.visitas","Country","Obs","Tiempo.muestreo","Genus","SD_C","SD_T","cv_c","cv_t","yi","vi","Guild_sp","Exp_no.exp","Managed_Wild","Vert_Invert","Diurn_Noctur","Flying_Noflying","Cultivo","Biomes"
"1",73,"163",10,1,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Asphodelaceae","Aloe plegerae","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,38.3,16.9,NA,3.1,3.2,NA,NA,NA,"South Africa",NA,NA,"Aloe",13.5125867249761,13.9484766193302,0.352809052871438,0.825353646114211,-1.52564259396644,0.13588928058585,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical"
"2",74,NA,10,2,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Asphodelaceae","Aloe plegerae","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,40,12,"%",6.25,3.58,NA,NA,NA,"South Africa",NA,NA,"Aloe",27.2431183971292,15.6048582178756,0.68107795992823,1.30040485148963,-1.23475825735761,0.1253240520278,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical"
"3",75,NA,10,3,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Asphodelaceae","Aloe plegerae","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,3869,497,NA,519,139,NA,NA,NA,"South Africa",NA,NA,"Aloe",2262.26855169761,605.886953152154,0.584716606797004,1.21908843692586,-1.99341168910142,0.157548554766397,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical"
"4",76,"172",11,1,"Arizaga, S.; Ezcurra, E.; Peters, E.; de Arellano, F. R.; Vega, E.",2000,"Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators","10.2307/2657001","Zapotitlán Salinas","Deserts & Xeric Shrublands","Shrubland","Vertebrate Nocturnal flying exclusion","all visitors",NA,"Agavaceae","Agave macroacantha","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",6,NA,3,3,NA,NA,NA,126.06,62.28,NA,31.34,9.07,NA,NA,NA,"Mexico",NA,NA,"Agave",54.2824723092086,15.7097008246497,0.43060822076161,0.252243108937857,-1.27354463814752,0.801826328779525,"Guild","FALSE","Wild","Vertebrate","Nocturnal","Flying","No_crop","Deserts"
"5",77,NA,11,2,"Arizaga, S.; Ezcurra, E.; Peters, E.; de Arellano, F. R.; Vega, E.",2000,"Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators","10.2307/2657001","Zapotitlán Salinas","Deserts & Xeric Shrublands","Shrubland","Vertebrate Nocturnal flying exclusion","all visitors",NA,"Agavaceae","Agave macroacantha","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",6,NA,3,3,NA,NA,NA,16.39,12.12,NA,1.54,3.71,NA,NA,NA,"Mexico",NA,NA,"Agave",2.66735824365607,6.42590849608053,0.162743028899089,0.530190469973641,-0.692513751252352,0.706631274639467,"Guild","FALSE","Wild","Vertebrate","Nocturnal","Flying","No_crop","Deserts"
"6",86,"201",14,1,"Aslan, Clare E.",2015,"Pollination of the Endangered Arizona Hedgehog Cactus (Echinocereus arizonicus)","10.1674/0003-0031-173.1.61","Arizona","Deserts & Xeric Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Cactaceae","Echinocereus arizonicus","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",13,NA,6.5,6.5,NA,NA,NA,48.7,0.07,"%",28.2,0.09,NA,NA,NA,"USA",NA,NA,"Echinocereus",19.0417,0.03276,NA,NA,-3.35874541148857,0.741583489969058,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Deserts"
"7",103,NA,NA,2,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","sp.1HB","sp2.HB",NA,"Rosaceae","Prunus dulcis","Bee species richness","fruit set","positive",NA,NA,NA,"2","1","Exp",16,"tree",8,8,NA,NA,NA,30.58,22.05,"%",5,3,NA,NA,NA,"USA",NA,NA,"Prunus",14.142135623731,8.48528137423857,0.462463558656996,0.384820016972271,-0.691422642168875,0.264939539690743,"Species","TRUE","Managed","Invertebrate","NA","Flying","No_crop","Temperate"
"8",104,NA,NA,3,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","sp1","sp2.HB",NA,"Rosaceae","Prunus dulcis","Bee species richness","fruit set","positive",NA,NA,NA,"2","1","Exp",16,"tree",8,8,NA,NA,NA,30.58,14.95,"%",5,2,NA,NA,NA,"USA",NA,NA,"Prunus",14.142135623731,5.65685424949238,0.462463558656996,0.378384899631597,-1.37181012450084,0.308808219302594,"Species","TRUE","Managed","Invertebrate","NA","Flying","No_crop","Temperate"
"9",105,NA,NA,4,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","cor.lineal",NA,NA,"Rosaceae","Prunus dulcis","visitation rate","fruit set","negative",4.65,2.6,"visits/flower*h",NA,NA,"Exp",16,"tree",8,8,NA,NA,NA,22.05,30.58,NA,3,5,NA,NA,NA,"USA",NA,NA,"Prunus",8.48528137423857,14.142135623731,0.384820016972271,0.462463558656996,0.691422642168875,0.264939539690743,"Species","FALSE","Wild","NA","NA","NA","No_crop","Temperate"
"10",106,NA,NA,5,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","cor.lineal",NA,NA,"Rosaceae","Prunus dulcis","visitation rate","fruit set","negative",2.6,0.13,"visits/flower*h",NA,NA,"Exp",16,"tree",8,8,NA,NA,NA,30.58,14.95,NA,5,2,NA,NA,NA,"USA",NA,NA,"Prunus",14.142135623731,5.65685424949238,0.462463558656996,0.378384899631597,-1.37181012450084,0.308808219302594,"Species","FALSE","Wild","NA","NA","NA","No_crop","Temperate"
