"","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Plant species family","Plant species","Pollinator variable measure","Reproductive succes measure","Response","Nc visits","Nt visits","Escala_visitas","Nc sp. Poll","Nt sp. Poll","Obs/Exp","N","Escala N","N control","N treat","Measure used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas C","Visitas T","Unidad de tiempo de visitas","Country","Obs","Tiempo muestreo","Genus"
"1","77",1,1,"Albor, Cristopher; Garcia-Franco, Jose G.; Parra-Tabla, Victor; Diaz-Castelazo, Cecilia; Arceo-Gomez, Gerardo",2019,"Taxonomic and functional diversity of the co-flowering community differentially affect Cakile edentula pollination at different spatial scales","10.1111/1365-2745.13183","Yucatán coast","Tropical & Subtropical Dry Broadleaf Forests","Dune",NA,"all visitors","Brassicaceae","Cakile edentula","Diversity of pollinator FG","Conspecific pollen load size","Negative",NA,NA,NA,NA,NA,"Obs",21,NA,NA,NA,"X2","7353","1",NA,NA,NA,"0,054",NA,NA,NA,NA,"Mexico",NA,NA,"Cakile"
"2",NA,1,2,"Albor, Cristopher; Garcia-Franco, Jose G.; Parra-Tabla, Victor; Diaz-Castelazo, Cecilia; Arceo-Gomez, Gerardo",2019,"Taxonomic and functional diversity of the co-flowering community differentially affect Cakile edentula pollination at different spatial scales","10.1111/1365-2745.13184","Yucatán coast","Tropical & Subtropical Dry Broadleaf Forests","Dune",NA,"all visitors","Brassicaceae","Cakile edentula","visitation rate","Pollen load","Neutral",NA,NA,NA,NA,NA,"Obs",21,NA,NA,NA,"X2","0,046","1",NA,NA,NA,"0,135",NA,NA,NA,NA,"Mexico",NA,NA,"Cakile"
"3","80",2,1,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) richness","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"4",NA,2,2,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees richness","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"5",NA,2,3,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies richness","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"6",NA,2,4,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator richness","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","9.1999999999999998E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"7",NA,2,5,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"Taxonomic and functional diversity of the co-flowering community differentially affect Cakile edentula pollination at different spatial scales","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) abundance","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.17899999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"8",NA,2,6,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees abundance","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.216",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"9",NA,2,7,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies abudance","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","2.5999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"10",NA,2,8,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator abundance","fruit set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.19400000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
