"","Plant species family","Genus","Plant species","n"
"1","Acanthaceae","Ruellia","Ruellia densa",1
"2","Acanthaceae, Asteraceae, Ericacea, Lamiaceae, Orobanchaceae, Rubiaceae, Verbenaceae","Ruellia","Ruellia densa, Aspilia foliosa, Piptolepsis imbricata, Gaylussacia brasiliensis, Gaylussacia virgnata, Hyptis passerina, Physocalyx rigida, Lantana sp., Stachytarpheta sp.",1
"3","Actinidiaceae","Actinidia","Actinidia arguta",2
"4","Adoxaceae","Sambucus","Sambucus javanica",2
"5","Agavaceae","Agave","Agave angustifolia",4
"6","Agavaceae","Agave","Agave macroacantha",2
"7","Agavaceae","Agave","Agave subsimplex",4
"8","Amaranthaceae","Blutaparon","Blutaparon portulacoides",2
"9","Amaryllidaceae","Allium","Allium cepa",5
"10","Amaryllidaceae","Allium","Allium porrum",2
"11","Amaryllidaceae","Scadoxus","Scadoxus membranaceus",3
"12","Amaryllidaceae","Scadoxus","Scadoxus puniceus",3
"13","Anacardiaceae","Mangifera","Mangifera indica",18
"14","Apiaceae","Anethum","Anethum graveolens",1
"15","Apiaceae","Anthriscus","Anthriscus  sylvestris",1
"16","Apiaceae","Apium","Apium graveolens",2
"17","Apiaceae","Carum","Carum carvi",1
"18","Apiaceae","Foeniculum","Foeniculum vulgare",6
"19","Apocynaceae","Asclepias","Asclepias lanceolata",6
"20","Araliaceae","Neopanax","Neopanax arboreus",1
"21","Arecaceae","Euterpe","Euterpe oleracea",1
"22","Asphodelaceae","Aloe","Aloe greatheadii",4
"23","Asphodelaceae","Aloe","Aloe marlothii",4
"24","Asphodelaceae","Aloe","Aloe plegerae",13
"25","Asphodelaceae","Kumara","Kumara plicatilis",2
"26","Asteraceae","Aspilia","Aspilia foliosa",1
"27","Asteraceae","Centaurea","Centaurea jacea",7
"28","Asteraceae","Centaurea","Centaurea solstitialis",6
"29","Asteraceae","Coreopsis","Coreopsis lanceolata",1
"30","Asteraceae","Deinandra","Deinandra minthornii",1
"31","Asteraceae","Echinacea","Echinacea purpurea",1
"32","Asteraceae","Helianthus","Helianthus annuus",6
"33","Asteraceae","Hypochaeris","Hypochaeris radicata",1
"34","Asteraceae","Piptolepsis","Piptolepsis imbricata",1
"35","Asteraceae","Silphium","Silphium perfoliatum",1
"36","Asteraceae","Symphyotrichum","Symphyotrichum novae-angliae",1
"37","Bignoniaceae","Oroxylum","Oroxylum indicum",1
"38","Boraginaceae","Cordia","Cordia lutea",4
"39","Boraginaceae","Echium","Echium simplex",18
"40","Boraginaceae","Tournefortia","Tournefortia rufo-sericea",2
"41","Brassicaceae","Brassica","Brassica carinata",2
"42","Brassicaceae","Brassica","Brassica napus",2
"43","Brassicaceae","Brassica","Brassica nigra",2
"44","Brassicaceae","Brassica","Brassica oleracea",1
"45","Brassicaceae","Brassica","Brassica oleracea var.botrytis",2
"46","Brassicaceae","Brassica","Brassica oleracea var.capita",4
"47","Brassicaceae","Brassica","Brassica oleracea var.capitata",2
"48","Brassicaceae","Cakile","Cakile edentula",2
"49","Brassicaceae","Erysimum","Erysimum mediohispanicum",2
"50","Brassicaceae","Erysimum","Erysimum popovii",2
"51","Brassicaceae","Hormathophylla","Hormathophylla spinosa",2
"52","Brassicaceae","Lobularia","Lobularia maritima",2
"53","Brassicaceae","Raphanus","Raphanus sativus",32
"54","Brassicaceae","Sinapsis","Sinapsis arvensis",6
"55","Brassicaceae, Rosaceae, Fabaceae,","Brassica","Brassica napus, Fragaria x ananassa, Vicia faba, Fagopyrum esculentum, Polygonaceae",2
"56","Bromeliaceae","Aechmea","Aechmea nudicaulis",1
"57","Bromeliaceae","Billbergia","Billbergia horrida",4
"58","Bromeliaceae","Vriesea","Vriesea neoglutinosa",1
"59","Cactaceae","Carnegia","Carnegia gigantea",15
"60","Cactaceae","Cipocereus","Cipocereus crassisepalus",4
"61","Cactaceae","Echinocereus","Echinocereus arizonicus",2
