LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kühn	Ingolf	4	BiolFlor Database	Carum carvi	10820	Carum carvi	600958	3011294	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	gynodioecious											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Carum carvi	10820	Carum carvi	600958	3011295			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Carum carvi	10820	Carum carvi	600959	3011296	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	gynomonoecious											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Carum carvi	10820	Carum carvi	600959	3011297			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Allium cepa	2516	Allium cepa	601159	3011696	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	hermaphroditic											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Allium cepa	2516	Allium cepa	601159	3011697			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Aster novae-angliae	71836	Symphyotrichum novae-angliae	601337	3012052	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	gynomonoecious											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Aster novae-angliae	71836	Symphyotrichum novae-angliae	601337	3012053			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Brassica oleracea	8257	Brassica oleracea	601425	3012228	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	hermaphroditic											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Brassica oleracea	8257	Brassica oleracea	601425	3012229			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Centaurea solstitialis	11620	Centaurea solstitialis	601674	3012726	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	hermaphroditic											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Centaurea solstitialis	11620	Centaurea solstitialis	601674	3012727			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Prunus avium	44304	Prunus avium	601688	3012754	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	hermaphroditic											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Prunus avium	44304	Prunus avium	601688	3012755			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Prunus cerasus	44321	Prunus cerasus	601691	3012760	213	Flower sex	591	Flower sexual system (floral phenotype)	SEX_LANG_E	hermaphroditic											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Prunus cerasus	44321	Prunus cerasus	601691	3012761			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
